ID,Sitio,Índice del lugar,Nombre del lugar,Enlace del lugar,Municipio,Valoración,Valoraciones,Precio,Comentario,Fecha,Votos a favor,Votos en contra,Valoración_num,Sentimiento
418,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Un lujo Después de la isla San Andrés lo mejor de Colombia, tranquilidad garantizada y seguridad, no se usan llaves en las habitaciones y pese a ello la gente es 100% confiable, no se extravió nada en la isla, puedes dejar tus pertenencias en cualquier parte y al caer la noche en conserjería las guardan y las recuperas.",28 de diciembre de 2015,0,0,4.5,neutral
839,Tripadvisor,60,Teatro Municipal de Sincelejo,https://www.tripadvisor.co/Attraction_Review-g1395140-d7745942-Reviews-or10-Teatro_Municipal_de_Sincelejo-Sincelejo_Sucre_Department.html,Sincelejo,4.0/5,11,Precio Desconocido,"Tiene un auditorio bastante amplio con capacidad para 500 personas, espacio para montaje de stands para muestras y por supuesto ubicado en pleno centro de la ciudad. Pronto estará en remodelación, como dato curioso.",14 de marzo de 2015,0,0,4,neutral
1281,Tripadvisor,80,Rincón del mar Diving,https://www.tripadvisor.co/Attraction_Review-g10326747-d17274098-Reviews-or10-Rincon_del_mar_Diving-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,30,Precio Desconocido,"Soy novato en el buceo así que fue con cierta aprensión que me apunté por un día de buceo. Después de leer las reseñas y comparar con otros centros de buceo, opté por éste. La verdad que fue un acierto pues de entrada, Alberto y Julie te acogen de forma muy sencilla y simpática. Luego, te lo enseñan todo de manera muy profesional para hacerte sentir seguro y puedas disfrutar realmente de la estancia bajo el agua. Una vez sumergidos, ellos te acompañan todo el rato por lo que me sentí muy a gusto y sin miedo. Después del buceo, me hablaron del medio ambiente que por lo visto conocen muy bien. Luego, fuimos a visitar una isla preciosa. Me despedí de ellos encantado de haber vivido una experiencia muy agradable en muy buena compañía. Recomiendo este centro que es el primero del pueblo. Pregunten por Alberto y Julie.",26 de enero de 2020,0,0,5,neutral
1269,Tripadvisor,79,Anfibio Sports Adventure,https://www.tripadvisor.co/Attraction_Review-g10326747-d23061629-Reviews-or30-Anfibio_Sports_Adventure-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,34,Precio Desconocido,"Excelente Experiencia con Ciro, de Anfibio Sports! Hicimos el stand up Paddle, el cual fue muy entretenido. Además Ciro es un gran instructor. Recomendadisimos si quieres divertirte y hacer algo diferente en tu estadía en Rincón del Mar",6 de febrero de 2021,1,0,5,neutral
360,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Sin dudas la mejor parte del archipiélago. De casualidad nos llevaron hasta ahí, jamás habia visto una playa tan cristalina, repleta de buena gente, es imposible dejar de visitarla",13 de julio de 2018,0,0,4.5,neutral
535,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Fabuloso complejo ecológico - 2 horas en barco desde Cartagena Fabuloso complejo, verdadera huida - aguas turquesa con peces nadando alrededor de usted. Probar el buceo - la guía es verdaderamente una aquaman. La comida era buena y abundante, el alojamiento estaba bien, no es lujoso, pero no se necesita aquí. Muy limpio. El personal era increíble ... muy amable y atento. Si lo que buscas es un lugar para escapar, este es el lugar, incluso la red wi-fi se llama 'desconectarte del mundo.",6 de julio de 2015,0,0,4.5,neutral
483,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Volvería sin dudarlo Isla Mucura es un paraíso terrenal, me recordó mucho a la serie ""La Isla de la Fantasía"", fueron dos horas en lancha desde Cartagena y al llegar al hotel Punta Faro tocan unas campanitas y bajando de la lancha te reciben con jugo de coco. De lo más pintoresco! El clima es exquisito, el agua tibia y transparente, maravillosa, y el agua de la ducha viene muy bien que sea sólo fría para refrescarte del intenso calor. Es un lugar muy tranquilo, nadie te molesta, no existen los molestos vendedores que acosan en Cartagena. Todo es paz y amor y su gente muy amable, maravillosa. ¡Volvería sin dudarlo!",3 de agosto de 2014,0,0,4.5,neutral
1260,Tripadvisor,79,Anfibio Sports Adventure,https://www.tripadvisor.co/Attraction_Review-g10326747-d23061629-Reviews-or30-Anfibio_Sports_Adventure-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,34,Precio Desconocido,"Realizamos stand up paddle para recibir el amanecer y fue maravilloso, Ciro fue muy atento y excelente instructor, lo recomiendo 100%",29 de marzo de 2021,0,0,5,neutral
1114,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"No hay que viajar muy lejos para maravillarte con la experiencia de bucear en aguas cristalinas y ver magníficos corales. Fue una aventura emocionante, Guillermo siempre atento, te hace sentir bienvenido y super buen instructor; es de repetir!!",31 de julio de 2018,0,0,5,neutral
613,Tripadvisor,52,Ciénaga la Caimanera,https://www.tripadvisor.co/Attraction_Review-g616329-d10022459-Reviews-Cienaga_la_Caimanera-Covenas_Sucre_Department.html,Coveñas,4.5/5,86,Precio Desconocido,"Muy chevere la experiencia, lo mejor es que toca ayudar a remar, la casa flotante es interesante, las fotos quedan muy bonitas, a algunas personas les da miedo pero es bueno relajarse y disfrutar.",21 de abril de 2018,0,0,4.5,neutral
1073,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"Tú por un par de inmersiones y estuvo tan excelente el servicio y atención que ahora voy en busca del advanced, Ana y Guillo excelentes anfitriones, la escuela muy completa y unos puntos excelentes para disfrutar.",6 de septiembre de 2019,0,0,5,neutral
752,Tripadvisor,57,Archipiélago De San Bernardo,https://www.tripadvisor.co/Attraction_Review-g616329-d14930714-Reviews-or20-Archipelago_Of_San_Bernardo-Covenas_Sucre_Department.html,Coveñas,4.0/5,29,Precio Desconocido,"En las playas del archipiélago San Bernardo, se puede disfrutar de aguas cristalinas y arena muy blanca, además de la rica comida caribeña.",16 de marzo de 2022,0,0,4,neutral
1246,Tripadvisor,79,Anfibio Sports Adventure,https://www.tripadvisor.co/Attraction_Review-g10326747-d23061629-Reviews-or30-Anfibio_Sports_Adventure-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,34,Precio Desconocido,"Una súper experiencia para comenzar el año. Ciro muy profesional, siempre pendiente y atento. Excelentes equipos, una gran aventura!!!",7 de enero de 2022,0,0,5,neutral
1006,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"La experiencia fue genial, Guillermo y Ana fueron muy amables, hicieron que el paseo a Coveñas valiera totalmente la pena. Las inmersiones las hicimos en el archipiélago de San Bernardo en dos sitios espectaculares, llenos de vida, corales muy bien conservados y pudimos ver no solo peces, sino morenas y un cangrejo rey de buen tamaño. Guillermo tuvo mucha paciencia, es un instructor muy profesional. Es un plan totalmente recomendado, un sitio donde vale la pena certificarse.",22 de octubre de 2020,0,0,5,neutral
201,Foursquare,31,Pombo Parrilla,https://foursquare.com/v/pombo-parrilla/4ea6f6e02c5b614a690d9c5d,Sincelejo,7.4/10,15 valoraciones,$$$$,"La puntagorda a buen término, el salón VIP con buen aire","Enero 3, 2018",0,0,7.4,positivo
681,Tripadvisor,53,Playas Rincon del Mar,https://www.tripadvisor.co/Attraction_Review-g4452849-d10213520-Reviews-or40-Playas_Rincon_del_Mar-San_Onofre_Sucre_Department.html,San Onofre,4.0/5,51,Precio Desconocido,"Un paisaje agradable, un amanecer y atardecer tranquilos. Si eres de aventuras y no te estresan situaciones de pueblo, puedes rentar ""cabañas"" ( ojo con el concepto que tienes de cabañas, puede haber sorpresas), hablarás con los lugareños, mejor que tengas acompañamiento de algún recomendado (alguien del lugar que te oriente y facilite cosas), puedes tener contratiempos con el suministro y disposición de agua. Si eres de paseos y vacaciones cómodas, te sugiero el hotel que llenará tus expectativas y evitará sorpresas (obvio los precios aumentan). El sitio es, alejado de la playa de turistas de pasar día, adecuado para el ""relax"", desconectarte del vértigo del día a día de la ciudad, el atardecer y anochecer son tranquilos ( ojo con las temporadas festivas, puede haber ruido), el amanecer es para disfrutar, así que levántate temprano y disfrútalo. Si disfrutas de maravillas naturales, te sugiero organizar la fecha de acuerdo a las fases de luna, que sean noches oscuras, para que disfrutes uno de los espectáculos de el lugar (Placton boifluorescente), trata de no perdértelo. El viaje a las islas es infaltable, mejor si con tu grupo rentas una lancha y vas con tus tiempos.",7 de enero de 2018,3,0,4,neutral
1161,Tripadvisor,75,Rincón Dive Center,https://www.tripadvisor.co/Attraction_Review-g10326747-d14126059-Reviews-or60-Rincon_Dive_Center-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,192,Precio Desconocido,Giovani y Stefania son muy profesionales y queridos. Los lugares de buceo espectaculares. El equipamiento es de excelente calidad. Hemos adorado la experiencia.,3 de enero de 2021,0,0,5,neutral
1235,Tripadvisor,77,Guía de Turismo del Golfo de Morrosquillo,https://www.tripadvisor.co/Attraction_Review-g616329-d12951539-Reviews-or30-Covenas_Colombia_Travel-Covenas_Sucre_Department.html,Coveñas,5.0/5,30,Precio Desconocido,"Manuel es un guía muy entusiasta, experimentado y conocedor del área, muy flexible a las necesidades del grupo. Altamente recomendado contratarlo para obtener una historia más profunda de Lorica, Córdoba.",14 de julio de 2021,0,0,5,neutral
63,Foursquare,2,Playas de Coveñas,https://es.foursquare.com/v/playas-de-cove%C3%B1as/4e0b5bd352b1fe83d54c6f4b,Coveñas,8.8/10,241 valoraciones,Precio Desconocido,Estuvo súper y fue un tiempo de sosiego y paz,"Abril 18, 2014",0,0,8.8,positivo
443,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Exclusivo Como para apartarse del mundo real. Un buen buceo, muy buena comida y un escenario perfecto para relajarse por completo. Hay varios hoteles en la isla. No es un lugar como para pasar el día, hay que quedarse por lo menos un par de noches para que valga la pena.",31 de marzo de 2015,0,0,4.5,neutral
956,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"Hice el plan de buceo en las Islas de San Bernardo en julio y regresé en Agosto para certificarme como Open Water. La atención es espectacular. Guillermo, Jimena, Sandro y el capi son un equipo super amable y coordinados. Recomiendo esta actividad a todos, te generan toda la confianza para aventurarte en este mundo maravilloso.",13 de enero de 2022,0,0,5,neutral
1175,Tripadvisor,75,Rincón Dive Center,https://www.tripadvisor.co/Attraction_Review-g10326747-d14126059-Reviews-or60-Rincon_Dive_Center-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,192,Precio Desconocido,"Me saqué el open water en Rincon con Stefannia, la experiencia fue increíble, a parte del lugar que es precioso y muy tranquilo, poder ver y aprender de las maravillas escondidas debajo del mar es único. Muy agradecida por la amabilidad que me ofrecieron. Muy recomendable!",22 de noviembre de 2019,1,0,5,neutral
436,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Un pedacito de paraíso Tuve la oportunidad de estar unas cuantas horas en este lindo lugar, playas de arenas blancas y agua cristalina, gente muy amable, dispuesta a complacer tus pedidos sin ir a exagerar (como los vendedores de otras playas). En general un lugar tranquilo para disfrutar y desconectarse del mundanal ruido de la ciudad.",23 de mayo de 2015,0,0,4.5,neutral
724,Tripadvisor,56,Playa la Coquerita,https://www.tripadvisor.co/Attraction_Review-g616329-d10465002-Reviews-or20-Playa_la_Coquerita-Covenas_Sucre_Department.html,Coveñas,4.0/5,28,Precio Desconocido,"Playas hermosas y servicio buenísimo, estadía cómoda. Buenos sitios turísticos, en especial isla Mucura.",3 de febrero de 2020,1,0,4,neutral
1121,Tripadvisor,74,Covenas Diving Co.,https://www.tripadvisor.co/Attraction_Review-g616329-d13199404-Reviews-or220-Covenas_Diving_Co-Covenas_Sucre_Department.html,Coveñas,5.0/5,259,Precio Desconocido,"Guillermo, excelente instructor, tiene toda la experiencia y paciencia para que aprendas. Hasta que puedas bucear, vimos muchos peces y corales. Tienes la oportunidad de bucear en diferentes lugares como lo es en los límites de San Antero, y Coveñas, las islas de San Bernardo del Viento como lo es: isla Palma, Múcura, Tintipan y Santacruz del Islote, la isla más poblada del mundo, y también un nuevo lugar como Isla Fuerte. Como decimos en el Caribe, quien lo vive es quien lo goza. Ven y disfruta de esta experiencia única.",26 de mayo de 2018,0,0,5,neutral
859,Tripadvisor,64,Plaza de Majagual,https://www.tripadvisor.co/Attraction_Review-g1395140-d6951865-Reviews-or30-Plaza_de_Majagual-Sincelejo_Sucre_Department.html,Sincelejo,3.5/5,32,Precio Desconocido,"Plaza Majagual No es lugar seguro para visitar ni limpio no le hacen aseo a diario, hay días que se ve limpia y días que no. De noche es muy insegura, falta más iluminación y presencia policiva.",21 de enero de 2018,1,0,3.5,negativo
688,Tripadvisor,53,Playas Rincon del Mar,https://www.tripadvisor.co/Attraction_Review-g4452849-d10213520-Reviews-or40-Playas_Rincon_del_Mar-San_Onofre_Sucre_Department.html,San Onofre,4.0/5,51,Precio Desconocido,"Estar en Rincón del Mar es buscar un descanso deseado y un acceso a lugares maravillosos como la Isla Mucura y el Islote Santa Cruz, tiene una larga playa y el agua se mantiene siempre tibia gracias a la ensenada. Realmente es un lugar para descansar.",11 de enero de 2017,0,0,4,neutral
498,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Espectacular Punta Faro Comida, atención y lugar perfecto. El lugar es cómodo y la atención es insuperable, muy amables, es un hotel familiar lo que lo hace muy acogedor. La comida un 10.",16 de febrero de 2014,0,0,4.5,neutral
1244,Tripadvisor,79,Anfibio Sports Adventure,https://www.tripadvisor.co/Attraction_Review-g10326747-d23061629-Reviews-or30-Anfibio_Sports_Adventure-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,34,Precio Desconocido,"Muy buen plan el Stand up paddle, Ciro fue muy atento todo el tiempo, paciente. Cuando amaneció las condiciones no eran las ideales, pero el estuvo pendiente y nos contactó más tarde cuando vio que las condiciones estaban bien para hacer la actividad y lo pudimos hacer.",3 de noviembre de 2023,0,0,5,neutral
93,Foursquare,6,Sincé - Sucre,https://es.foursquare.com/v/sinc%C3%A9--sucre/4e247cc0e4cdf68591a3811c,Sincé,8.2/10,16 valoraciones,Precio Desconocido,"Si quieres conocer sobre la cultura del Municipio, visita a Evaristo AcostaHuertas, vive por elparque principal.Leer más","Abril 22, 2012",0,0,8.2,positivo
155,Foursquare,21,Javier Parrilla,https://es.foursquare.com/v/javier-parrilla/4e6f9a2b62e1d475e2443703,Sincelejo,7.7/10,25 valoraciones,$$,Elcerdoes EXCELENTE!!!,"Febrero 24, 2012",0,0,7.7,positivo
400,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Paraíso terrenal Pocas veces puedes encontrar, una isla paradisíaca a tu disposición, a pesar que allí se encuentran operando algunas casas; la percepción es de soledad y tranquilidad absoluta preciosos corales y fauna marina.",1 de noviembre de 2016,0,0,4.5,neutral
887,Tripadvisor,66,Ecoparque Laderas de Villeros Coveñas,https://www.tripadvisor.co/Attraction_Review-g616329-d7237724-Reviews-Ecoparque_Laderas_de_Villeros_Covenas-Covenas_Sucre_Department.html,Coveñas,3.5/5,4,Precio Desconocido,"Es un lugar único en Coveña pues ofrece un ecoturismo, se pueden hacer actividades al aire libre, tienes una vista hermosa en la que se ven las playas de Coveña, tiene un lago muy tranquilo. Si te gusta la naturaleza, esta puede ser una muy buena opción.",30 de julio de 2015,1,0,3.5,negativo
599,Tripadvisor,52,Ciénaga la Caimanera,https://www.tripadvisor.co/Attraction_Review-g616329-d10022459-Reviews-Cienaga_la_Caimanera-Covenas_Sucre_Department.html,Coveñas,4.5/5,86,Precio Desconocido,"Viaje tranquilo, maravillosos paisajes y se nota que lo están tratando de conservar de muy buena manera.",16 de enero de 2019,0,0,4.5,neutral
200,Foursquare,31,Pombo Parrilla,https://foursquare.com/v/pombo-parrilla/4ea6f6e02c5b614a690d9c5d,Sincelejo,7.4/10,15 valoraciones,$$$$,El pollo a la parrilla con buena salsa de ajo uufffff delicioso. Acompañado de una limonada frapeada... Quedamos Sin sed por varios dias,"Marzo 31, 2014",0,0,7.4,positivo
455,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Hermoso lugar La isla es hermosa, es un lugar apropiado en especial para los niños. La comida es rica, la langosta estuvo bien. Sin embargo, falta mayor organización a la hora de servir. Las cocadas deliciosas, las mejores de este paseo, nos atendió la Mellita, quien fue amable. Las limonadas de coco estaban deliciosas. Viajamos desde Tolú con lanchas Los Corales, con Jhon y Jhon, ellos fueron amables, muy buen piloto y asistente. Sin embargo, la atención de la joven que vende tiquetes fue tosca y displicente. En Tolú falta mayor organización en playas, muelles, parqueaderos y puestos de comida. No hay servicio de baños que ofrezcan condiciones adecuadas de limpieza.",13 de enero de 2015,0,0,4.5,neutral
1184,Tripadvisor,75,Rincón Dive Center,https://www.tripadvisor.co/Attraction_Review-g10326747-d14126059-Reviews-or60-Rincon_Dive_Center-Rincon_del_Mar_San_Onofre_Sucre_Department.html,San Onofre,5.0/5,192,Precio Desconocido,Tuve una maravillosa experiencia buceando con Rincón Dive Center. Desde la preparación previa hasta la elección de los puntos de buceo para las inmersiones cerca a la Isla Tintipán fue perfecta. El acompañamiento y profesionalismo de Stefania como dive master y el uso de equipos casi nuevos hizo que fuera mejor de lo que esperaba. Tuve la fortuna de cruzarme con un cardúmen de creolas y fue alucinante estar en medio de ellos. Lo recomiendo completamente como uno de los mejores lugares para bucear en Colombia.,4 de febrero de 2019,3,0,5,neutral
449,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Un paraiso Es una Isla increíble, hay que conocerla para corroborar que su mar es similar al de San Andrés. Nos alojamos en el Hotel Club Múcura, hermoso, lo malo es que la luz artificial era de 19 hs a 23 hs, y poca variedad de comida, pero con una vista al mar muy linda y una playa divina, además de una piscina. No dejes de ir!",14 de febrero de 2015,0,0,4.5,neutral
205,Foursquare,33,Academia De Belleza Sandra,https://foursquare.com/v/academia-de-belleza-sandra/4efe328df790570bd09b8270,Sincelejo,7.4/10,12 valoraciones,Precio Desconocido,"Buen servicio, buena atención, muy rápido y muy cómodo lo recomiendo","Abril 21, 2014",0,0,7.4,positivo
729,Tripadvisor,56,Playa la Coquerita,https://www.tripadvisor.co/Attraction_Review-g616329-d10465002-Reviews-or20-Playa_la_Coquerita-Covenas_Sucre_Department.html,Coveñas,4.0/5,28,Precio Desconocido,"Playa recuperada, diferentes actividades náuticas y gastronomía local. Es manejada por los lugareños con ellos puedes escuchar muchas historias locales, en general una playa buena para pasar vacaciones.",23 de diciembre de 2017,0,0,4,neutral
569,Tripadvisor,51,Reserva Natural Sanguaré,https://www.tripadvisor.co/Attraction_Review-g4452849-d7149029-Reviews-Reserva_Natural_Sanguare-San_Onofre_Sucre_Department.html, San Onofre,5.0/5,35,Precio Desconocido,"Hermoso lugar para ver plancton / plancton. Una reserva natural donde puedes ir con niños (debes saber nadar). ¡Tu experiencia comienza cuando el guía de la Reserva te pide que saltes en kayak! ! ! El viaje para llegar al plancton / plancton es de 25 minutos en kayak. Cuando llegue a esta hermosa laguna, debe saltar al agua para recibir el sol y estrellas para ver el plancton / plancton.",12 de febrero de 2019,0,0,5,neutral
388,Tripadvisor,50,Isla Múcura,https://www.tripadvisor.co/Attraction_Review-g4452849-d2536595-Reviews-or20-Isla_Mucura-San_Onofre_Sucre_Department.html, San Onofre,4.5/5,281,Precio Desconocido,"Isla Múcura Demasiado lindo, muy tranquilo lo único que deben tener en cuenta es que si van salir desde Tolu deben llegar a las 7:30 am para salir a la isla.",7 de mayo de 2017,0,0,4.5,neutral
908,Tripadvisor,71,Litio Karts,https://www.tripadvisor.co/Attraction_Review-g1395140-d24974016-Reviews-Litio_Karts-Sincelejo_Sucre_Department.html,Sincelejo,5.0/5,3,Precio Desconocido,Este lugar es muy divertido. Fui con mis hijos y la pasamos genial. Tiene atracciones para todas las edades. Los karts son realmente rápidos y las vueltas cronometradas las premian con medallas. Necesitábamos un lugar así en Sincelejo. Definitivamente volveré.,15 de febrero de 2023,0,0,5,neutral
897,Tripadvisor,69,Golfo de Morrosquillo,https://www.tripadvisor.co/Attraction_Review-g1726000-d7050550-Reviews-or10-Golfo_de_Morrosquillo-Santiago_de_Tolu_Sucre_Department.html,Santiago de Tolú,4.5/5,15,Precio Desconocido,"Estuve en septiembre en las playas de Tolú y Coveñas. En ambos sitios, quizá por la época, la afluencia de turistas era moderada y así mismo de vendedores. En la mañana el mas es muy calmado y es espectacular si van con niños. en la tarde el oleaje es un poco mas fuerte (En la parte de Tolú, no se en el lado de Coveñas). Quizás lo que nubla un poco la calificación es que encontramos algo de basura en el mar... creo que se debe trabajar en la cultura de los turistas y los vendedores, pues es un sitio maravilloso para descansar.",16 de septiembre de 2019,0,0,4.5,neutral
825,Tripadvisor,59,Catedral de San Francisco,https://www.tripadvisor.co/Attraction_Review-g1395140-d6960179-Reviews-or20-Catedral_de_San_Francisco-Sincelejo_Sucre_Department.html,Sincelejo,4.0/5,30,Precio Desconocido,"Está ubicada justo al lado del parque y siempre está adornada por la plaza que queda cerca, es muy linda por dentro.",15 de abril de 2015,0,0,4,neutral
277,Foursquare,45,Centro Comercial VIVA,https://foursquare.com/v/centro-comercial-viva/4c367fa418e72d7f0f0515f5,Sincelejo,6.8/10,155 valoraciones,Precio Desconocido,El mejor lugar en Sincelejo para hacer compras,"Diciembre 25, 2013",2,0,6.8,neutral
